VARIABLE,svar,lp,lp_lagaug,lp_gls,varlp_avg
cat1,-0.264289813439623,-0.00549261782570115,0.0359687150999585,0.880416488744973,-0.348768982464002
cat2,0.0942133015576429,-0.157263518102301,0.570506304679915,-5.18962860462726,0.102029132251496
cat3,-0.40536643084213,-0.259534921343697,-0.252178342210761,1.89166329903211,-0.498981438281553
cat4,0,0,0,0,0
cat5,-0.434924158072412,-0.282011127210706,-0.813897551715403,8.21829456835443,-0.928095558859824
cat6,0,0,0,0,0
cat7,0,0,0,0,0
cat8,-0.294129386797594,0.192627617608306,0.132613098736354,-5.05120779795832,0.48415606353167
cat9,-0.281248147703383,0.09909871318719,0.437948326630255,1.23137108177228,-0.370434842640476
cat10,0,0,0,0,0
h0,-1.15227934585631,-1.89981935332519,-2.48376799563108,-0.52422408784579,-1.28496749332464
h1,-1.07364530891118,-1.79044233980835,-2.67884278381132,-0.244865582890621,-1.1800276803377
h2,-0.537492518270839,-1.29245061180735,-1.65181386110242,-0.271748018379939,-1.18544840934034
h3,-0.300084131962796,-1.36558449321164,-1.94833726013291,0.295447497262006,-0.530807926939281
h4,-0.483973983628129,-1.45426461857024,-2.05349423352567,0.488733910743989,-0.540996846344519
h5,0.367777590853633,-0.803713629785907,-0.873668265274699,0.0494712226282741,-0.716892689402094
h6,0.311875007693577,-1.45336955458194,-1.26948253307338,0.58287441908564,-0.0151498241691863
h7,0.220144043700712,-1.29630131747799,-0.692202679543959,0.709076574840112,-0.175171104133148
h8,-0.3488283025731,-0.548729894430234,-0.494671469044017,0.637781242540782,-0.266630576739047
h9,0.265924641808274,-0.0960547351273897,-0.40653207797953,0.476782015109555,0.0271070469652898
h10,0.31969690832584,-0.119474095625211,-0.736999442008254,-0.184767961674145,0.0593199901316676
h11,0.471567520957728,-0.293300012638762,-0.303834943993302,0.329618506895935,0.387387870505985
h12,0.479283381487976,-0.0361258224129084,-0.159371149854065,0.333766609899644,0.482968711243309
h13,0.391228491196827,-0.0783345259537633,-0.110187751727638,0.209297732738186,0.0416539683262795
h14,0.277589278737446,0.0259593661250159,-0.0623176143542723,0.152798989674622,0.0209546169562284
h15,0.164826288635522,-0.0590683212090508,-0.140743354286945,-0.0493325286901977,0.140253490139326
h16,0.0728128466060694,0.0932776229630055,-0.0352127760952264,-0.313031191022501,0.343126421118681
h17,0.0199518997197708,-0.0654729733363432,-0.300068802904988,-0.163071426303749,0.165245161332434
h18,7.24454303294949e-05,-0.321182377456296,-0.141944911910315,-0.065592899711399,0.137556943737452
h19,0,0,0,0,0
h20,0.00845771463925144,-0.472027413310706,-0.44762500086168,0.047883127015493,-0.0783340339318667
