VARIABLE,svar,lp,lp_corrbias,lp_lagaug,lp_gls,varlp_avg,svar_iv,lp_IV_controls
cat1,0.262745052771299,0.312176859498293,0.349524071704933,0.377259469698208,0.21617282327202,0.27460084930566,0.148065322468816,0.653506884224129
cat2,1.46074104408431,1.34818962834896,1.40531911554527,1.48479902625323,1.29365952865511,1.36600192023603,1.47746215586046,1.21593175241115
cat3,-0.511705620469827,-0.341502674039241,-0.339484182918543,-0.433299140368384,-0.391321842314432,-0.446954950393804,-0.684017518618492,-0.39485167281236
cat4,0,0,0,0,0,0,0,0
cat5,-1.26982528731963,-0.806994859493753,-0.844987435833117,-0.866187417947019,-0.902721952565477,-1.01968241286049,-1.84583414325682,-0.0604885333229724
cat6,0,0,0,0,0,0,0,0
cat7,0,0,0,0,0,0,0,0
cat8,0.502857498430519,0.502592453641276,0.54537569506894,0.620452748628993,0.420707776730393,0.474804575166182,0.427710479225055,0.538604293785886
cat9,0.570483753214182,0.322336603897519,0.397475387546495,0.392241687228143,0.284623198233187,0.435479718405764,0.281454347380542,0.546039521873096
cat10,0,0,0,0,0,0,0,0
h0,-0.72057189105391,-1.07610232215135,-1.16795992254916,-1.03790868116412,-0.795604086067133,-0.82169285535494,-0.0250588651690146,-1.44920167754608
h1,-0.385631364776825,-0.741445398422941,-0.820032031818399,-0.744466785002194,-0.460947162338725,-0.489900841989503,0.103550430646177,-0.89715012248727
h2,-0.174705726295312,-0.510662202064231,-0.577220106881082,-0.497279363103341,-0.243046535588228,-0.272347841698341,0.0810923658837041,-0.729778438074166
h3,-0.00369058924926048,-0.320269771248045,-0.375419480389933,-0.368613092569475,-0.0610763293625738,-0.0938671577061706,0.11447950539165,-0.377922627541951
h4,0.119147055280434,-0.182301407263076,-0.226571349674218,-0.224592927046284,0.0720696859931367,0.0324179165557097,0.071048139053736,-0.369830125922338
h5,0.146024247275408,-0.110471619069401,-0.141606864357858,-0.13749224238787,0.134887342613996,0.0709672636011999,0.00716310639974778,-0.318207636902463
h6,0.100590447023752,-0.0878680213941692,-0.107458546048655,-0.0430621290565157,0.0394401091644277,0.0421730755338009,-0.0169406421020139,-0.36249574466928
h7,0.0786940294871998,-0.0690759098042429,-0.0778150095382604,-0.0323643670425017,0.0331177103836051,0.0269710671954787,-0.00884403026598543,-0.280167835783466
h8,0.0440506221839288,-0.0242319566973199,-0.0256739953413712,0.016152126145798,0.00277749909980583,0.0236328016580538,0.00519629768820271,-0.151623870049734
h9,0,0,0,0,0,0,0,0
h10,-0.0414114382016056,0.0471664765256276,0.0566029226299234,0.0538899078383824,0.0292372326520869,0.00947538473782369,-0.0147152592044405,-0.016851674748151
h11,-0.0842375602504927,0.105478156022256,0.12282738915694,0.125059177535026,0.0178963172199703,0.0308846590598663,-0.0292983274386343,0.329108880341817
h12,-0.128117032083876,0.0874912124057711,0.117017588197804,0.106502735069582,0.0295667867011569,-0.00455050669985029,-0.042709254504582,0.117205383060281
h13,-0.165995830393826,0.0897416255967208,0.127305325896177,0.123140175944707,0.0538362396514781,-0.0248483083713174,-0.0495164022558839,0.389600944778799
h14,-0.19788363924899,0.0768968852411496,0.123550312499716,0.113100121201779,0.0669363591853535,-0.0540091449866989,-0.0507963955006402,0.169515396100004
h15,-0.223126690430372,0.107912358758109,0.152568272161903,0.135353412642348,0.12735270887334,-0.057048605527816,-0.0515459637522389,0.318585192975157
h16,-0.24301037522272,0.152639455639202,0.20129724443809,0.167498657718391,0.101704561837824,-0.0382663332610558,-0.0539377927180279,0.265166182763069
h17,-0.259957676123149,0.158444163122678,0.214979060172403,0.178658288683499,0.101120185093451,-0.0451352607290321,-0.0588073105253508,0.196734620835721
h18,-0.275530347313556,0.143507134620877,0.206610139981286,0.120295662976329,0.0820202885653369,-0.0621550980896623,-0.065518167331859,0.362513756522059
h19,-0.290410802098114,0.140125438271825,0.214527416400641,0.0795844007094814,0.0830170796516041,-0.067189800727916,-0.0738216612250137,0.531481694012193
h20,-0.304645472672236,0.133985834021141,0.213812029391082,0.084487096209048,0.129811854221182,-0.0828011533578649,-0.0834463610832276,0.372306323658473
