VARIABLE,svar,lp_corrbias,lp_lagaug,lp_gls,varlp_avg
cat1,-0.437028194488593,-0.488630267324447,-0.283265047991291,-0.289085962174875,-0.369733277212188
cat2,-1.24545463223008,-1.20197784483039,-0.774879303018087,-0.565723296031869,-0.873838985842325
cat3,0.139107626900213,-0.788037888865454,-0.730766707459537,-0.358666157130092,-0.284246434875115
cat4,0,0,0,0,0
cat5,1.54531673333983,0.915720611217742,-0.00813006822597069,0.500318240102235,0.724956715262573
cat6,0,0,0,0,0
cat7,0,0,0,0,0
cat8,-1.21518963387119,-0.602133645683919,0.00889273803405845,-0.476165980260056,-0.672192206184715
cat9,0.284610777300141,0.740614782257052,0.452471607847763,0.438301526007226,0.521092561358455
cat10,0,0,0,0,0
h0,-2.81370217156465,-1.70183627634472,-2.31957863026809,-2.76671404940143,-2.60908940085642
h1,-1.72614082834057,-0.95282066310186,-1.35789132350448,-1.73040973105318,-1.54239617005813
h2,-1.19103723900182,-0.592323638092533,-0.85196749823013,-1.14193955874106,-1.01530477040178
h3,-1.07201073639806,-0.162038673168018,-0.77495458595294,-0.943408784231824,-0.929164391468873
h4,-0.710532878426145,-0.148330746028982,-0.516037216303754,-0.691268010371868,-0.627559726887132
h5,-0.346507964524886,0.301621973206852,-0.125136801745705,-0.564957290844575,-0.223157662134915
h6,-0.204340154352798,0.317120063562405,-0.0764347681990104,-0.278040110011473,-0.136716118744242
h7,0.00252160828550296,0.226352142653232,-0.256645200314202,-0.0246363417603166,-0.0207295607262227
h8,-0.109035044386209,0.305813620250821,0.0300378285307896,0.0909025255932489,0.0187911755655882
h9,0,0,0,0,0
h10,0.201461988114496,0.434533370802696,0.260145272784525,0.11358131489816,-0.126727510931244
h11,0.179708824634793,0.0438672079053682,-0.0960314383414739,0.104491817796571,-0.395663086929326
h12,0.0305209895473426,0.360594336138023,0.431522546015222,0.110634497744157,-0.365223277445728
h13,-0.474566216588563,0.468588847880449,0.420094990347281,0.0571213166704422,-0.107303248059413
h14,-0.421109492913894,0.788770360693266,0.592482061677515,-0.0427496713542697,-0.046821367248631
h15,-0.516004290587662,0.834678604726688,0.646041072579671,0.0515267682633912,0.112760891550488
h16,-0.64276711739587,0.841192980928725,0.630691508148058,0.081100051292969,0.120396544189271
h17,-0.273123189128144,0.840399295197218,0.692185566205541,0.236463863751289,0.195228485500656
h18,-0.193294814247015,1.08409305177269,0.828239776576933,0.239860126167086,0.313321938395373
h19,-0.227131883547202,0.919349389440888,0.782397821259508,0.274065477546845,0.318448525980699
h20,-0.477994077365422,1.07311323589462,0.627456246690557,0.25123308165625,0.210778540798191
