VARIABLE,svar,lp_corrbias,lp_lagaug,lp_gls,varlp_avg,svar_iv,lp_IV_controls
cat1,-0.366625875567057,-0.364432575781374,-0.0930255243558425,-0.36179060002129,-0.3377337882571,-0.626433179387679,0.247925128090227
cat2,-0.246136079189831,0.383953675889899,0.421973240631622,-0.593575819529403,-1.0408416022023,-0.895469364714649,-0.250354497825826
cat3,-0.267740680547521,-0.550798020844828,-0.764259045027349,-0.409211677852482,-0.389585352240744,0.31085836066024,-0.833052423574316
cat4,0,0,0,0,0,0,0
cat5,0.669122984136784,-0.288357336737422,-0.76977394216493,0.573211165659591,0.960411251138813,1.56601192398079,0.536523646190213
cat6,0,0,0,0,0,0,0
cat7,0,0,0,0,0,0,0
cat8,-0.948016694500352,-0.41122570137302,0.297620053835765,-0.551964488219621,-0.51584573831276,-0.986914362351976,-0.207062669972585
cat9,-0.913637620888303,-0.0106048594840961,-0.07394336130004,-0.67492048705254,-0.210157401943415,-0.735189650410533,0.904479735786331
cat10,0,0,0,0,0,0,0
h0,-0.924360039221209,-0.990928527522565,-1.46965745372583,-0.920140911689888,-0.994231435163234,-1.46781443580743,-1.48068531244333
h1,-0.856055703444868,-0.792043353837155,-1.46395419387461,-0.981178500981632,-0.987163580465047,-1.21104039661032,5.31693557409459e-05
h2,-1.07835197114591,-1.06379096359638,-1.50903276740401,-1.40477381339358,-1.1225386735463,-0.950876852959774,0.103934255066736
h3,-1.49417179334503,-0.673610310809954,-1.41634990167365,-1.01781810088806,-1.00459263358144,-0.970318081367029,-0.276227387987237
h4,-1.19196458057738,-1.03792817367135,-1.47606902086013,-0.824286064999945,-0.784754259892902,-0.863747294645277,0.0409614062370946
h5,-0.651262911359947,-1.09747867656983,-1.23168610625063,-0.968257554944653,-0.897723955102461,-0.229323627989381,-0.202524738753327
h6,-0.504497895884405,-1.54477672655634,-0.641342627556063,-0.335182175484624,-0.724221359729261,0.124267974121947,0.0456102205436815
h7,-0.218495355843838,-0.82461382702933,-0.418688241907729,-0.291745229089845,-0.457774002469628,0.237919735721672,-0.257327900687583
h8,-0.0586618637489331,-0.733809051713451,-0.389180036408524,-0.115966901766295,-0.333828998829145,0.216752803913432,0.00284711000566012
h9,0,0,0,0,0,0,0
h10,0.154533207082015,-0.115137356296608,0.0187189201293745,-0.217593491330792,-0.106807461634989,0.132002905633707,-0.0811024438716679
h11,0.058071332598852,-0.37721748815232,-0.157503107464391,-0.237385080535202,-0.601667595801679,0.0181583569976237,0.412152578496622
h12,-0.0958407067380023,-0.72648099801591,-0.0129127653470623,-0.0151180212025747,-0.657290024261369,-0.14141012969971,-0.0508157076644218
h13,-0.204776889314066,-0.0831691367691416,0.0362729974249888,-0.181564957506609,-0.10447651461548,-0.225342534694813,0.48986856492415
h14,-0.494955793994394,-0.344925150708544,-0.179247960389975,-0.0808010723857496,-0.214685333448983,-0.436389026364411,-0.250821271126617
h15,-0.218428856189121,-0.449446453962351,0.0594765442788596,-0.0403159039578215,-0.12744536732756,-0.249210980058414,-0.329019424691945
h16,-0.284746443997085,-0.388427126298581,-0.0351757381316072,0.188875594529357,-0.0883994490631142,-0.147296302885055,-0.405587460748277
h17,-0.0887681655464759,-0.0698872563715765,0.0414510779753424,0.367431617058599,-0.0830391347947418,-0.0934784739043533,0.0238183121018651
h18,0.0272512804189477,-0.12730438656408,0.0400778364615378,0.535302708491084,-0.159212958605086,-0.0456615503184658,0.479048939165438
h19,0.0432079840027832,0.254965715579393,-0.000113024007787158,0.606804048839313,0.0389337456533731,-0.00224111021006645,0.813005199095439
h20,-0.109381572945895,0.478490958468185,0.335729315214203,0.693271495146934,0.165293899717025,0.028145242677189,0.513807930440607
