VARIABLE,svar,svar_corrbias,bvar,lp,lp_corrbias,lp_penalize,var_avg
cat1,-0.22056116964623,-0.164531730272749,-0.248516164915147,-0.0482720106530002,-0.00284771456349169,-0.0525726552041037,-0.17398198686132
cat2,0.144614705057042,0.205647243457904,0.147799740627218,0.449605839954071,0.474267585084055,0.35354716187817,0.24992739067534
cat3,-0.10453572105981,-0.0638236362448036,-0.0908572919752103,-0.00293901397533609,0.041666330566536,0.0625914532541928,-0.013390364781248
cat4,0,0,0,0,0,0,0
cat5,-0.17121974264372,-0.134883002697825,-0.241915112460818,-0.192579425427486,-0.140336497362178,0.01557676600062,-0.0766269821315773
cat6,0,0,0,0,0,0,0
cat7,-0.34948745094008,-0.32802163771624,-0.382202856148236,-0.392963076871748,-0.329580247715556,-0.268478398539811,-0.245975584324666
cat8,-0.325001892270766,-0.266321137027712,-0.373378411479578,-0.163702080358323,-0.128684174777617,-0.208498616626965,-0.296311210866435
cat9,0.173464264937808,0.221847757063148,0.0710502326519524,0.319028591415132,0.361872064470383,0.281358520948536,0.180115311058871
cat10,0,0,0,0,0,0,0
h0,-0.760470652795045,-0.956997772414988,-0.772366940552008,-1.32396769016686,-1.49263317239231,-0.948433794631474,-0.973007385123434
h1,-0.329973209187244,-0.517764066796395,-0.377117145740164,-0.886864178272221,-1.04194884294754,-0.9799719939656,-0.461946247839812
h2,-0.132320018657357,-0.310594117157468,-0.194123545603102,-0.681465476337889,-0.825111822763143,-0.851399630716926,-0.209178873396486
h3,0.00585420301054045,-0.162404824311733,-0.102711932195306,-0.532433834690205,-0.664616229046588,-0.739502662148887,-0.0847842286334556
h4,0.100065672342099,-0.0590887108190668,-0.0560455904324753,-0.424803980262743,-0.545306796236101,-0.641551447911925,0.0160825348421776
h5,0.0805448048254228,-0.0615624554433818,-0.045293685974065,-0.349835628368417,-0.459420422599752,-0.551212845715297,0.0913820159170978
h6,0.0747962511082593,-0.0541639916253678,-0.0281516771772257,-0.286873637327518,-0.38727976871792,-0.471983460987297,0.142828238521891
h7,0.085137429154216,-0.0328611474580656,-0.0108709813341646,-0.237814142838954,-0.32979103225631,-0.411039607025243,0.175547839921035
h8,0.0832398050005932,-0.0245028079376941,-0.00132221353657221,-0.199562410592119,-0.283800012863059,-0.365650691458568,0.180661238084348
h9,0.0753665323669299,-0.0223720745520805,0.00350315120798454,-0.1563096392455,-0.233438963876426,-0.329919981047561,0.17717100902886
h10,0.0676066074937302,-0.0203701759579499,0.00547420152276859,-0.119155109996435,-0.187962972597209,-0.300984129722549,0.17273081742784
h11,0.0602061520061076,-0.0188651930575702,0.00534615389766212,-0.0883902455896958,-0.150216866575362,-0.273949993617943,0.163631653775231
h12,0.0533248658465953,-0.0172379716208683,0.0045874604910755,-0.0705499720130537,-0.124398157813277,-0.248798515795765,0.137099086100712
h13,0.0466926887139665,-0.015559158107984,0.00355978481562402,-0.0581672429396604,-0.103662443718755,-0.227042294257593,0.121042687752942
h14,0.0403897802764039,-0.0135732906767838,0.00264833502376875,-0.0477416002800112,-0.0859996696169839,-0.212345079861729,0.0958912144237737
h15,0.0341676996903552,-0.0112320530411058,0.0018990105184612,-0.0345435798994587,-0.0663697169700805,-0.202541226258259,0.0730322463607858
h16,0.0280007831395957,-0.00864505704914778,0.0013619407361889,-0.0213073278014133,-0.047346408048805,-0.191510100304163,0.0649454638130019
h17,0.0214121300547653,-0.00632586749607422,0.000955170023953565,-0.00926082735392815,-0.0290546334425908,-0.17442827126145,0.0539658229618465
h18,0.0145750108814282,-0.00407056411950457,0.000632883968889082,-0.00194853776194877,-0.0149540719408335,-0.145714426377931,0.041582050943133
h19,0.00745397558568905,-0.00192863668865292,0.000326766626585772,-0.00188467230830626,-0.00792051865320303,-0.0926190930589494,0.0178460431093966
h20,0,0,0,0,0,0,0
