VARIABLE,svar,bvar,lp_corrbias,lp_penalize,lp_lagaug,lp_gls,varlp_avg,svar_iv,lp_IV_controls
cat1,0.302101607278135,0.227111525985631,0.166285538662664,-0.202204925258343,-0.0202938860486715,0.432040523768385,0.410277142321044,0.258096784858123,0.248635930665905
cat2,0.237143113817291,0.188712237213913,0.182285525038003,-0.189285018687038,-0.0491097502052319,0.226184455844615,0.223533272286218,0.342732288643798,0.310096030340837
cat3,0.349504608137049,0.335721688298705,0.23477039119872,-0.0940087505911865,-0.0840843736903924,0.216625905846984,0.255740842002796,0.286953261734363,0.179068014233482
cat4,-0.103331304705712,0.079557433176272,0.0711309513301474,-0.0438662525000073,-0.196282345530738,-0.0201856064034472,0.0913765892004673,0.408053177740859,0.279837687443278
cat5,-0.0314311591075052,0.289581706201351,0.0622444104721505,-0.198229651178171,-0.182840025194164,0.14987060341318,-0.0296032382201296,0.302033642138832,0.323434382443431
cat6,0.205734485706947,0.282941003940055,-0.0349640991005624,-0.24979003001674,-0.167478389620533,0.143205177798017,0.100287204090625,0.272979403765305,0.275377405908206
cat7,0.294968430365085,0.270064766054654,-0.0506328061552922,-0.127322162155282,-0.135748719209639,-0.0556789880174615,0.0469834733524105,0.0922644702343486,0.135334791446854
cat8,-0.0446827430357205,0.135716031071437,-0.0367539845231965,-0.0568940098305188,-0.106810913123746,0.129613699729715,0.102334880879606,0.144586888890724,0.360946646704182
cat9,0.0586949975562318,-0.0897314267407027,0.11401709275961,0.0648533196059694,0.0967269506305659,0.415470995440441,0.308472623415144,0.233288868518382,0.0476263791877136
cat10,0.196953186772535,0.28700189948594,-0.0618875399084407,-0.169624948332117,-0.282750808603687,0.122724859576088,0.108087519367083,0.513003323891706,0.159433149923666
h0,-4.79071402517841,-4.72079705362458,-4.09623342341368,-0.718333021100455,-3.14411175752316,-4.79067371446853,-4.73656984817716,-4.74941079986511,-3.85367395381348
h1,-4.27014935771871,-4.06979358369852,-3.56957088447288,-0.377700724099933,-2.57929627847223,-4.30898292911732,-4.24278210270461,-3.15704540522346,-2.51300905637063
h2,-3.92305918632624,-3.83275623683372,-3.51016605544324,-0.927577624921926,-2.19256570450039,-3.92069870751148,-3.88036664524685,-3.06177740346945,-2.46760683484765
h3,-3.83982880651174,-3.51502698142317,-3.54657288153522,-0.837352054884984,-1.91716276971223,-3.74952301492979,-3.59963956444733,-2.51035602770142,-2.85820314304783
h4,-3.57480630866592,-3.11821397224174,-3.20489699862346,-0.870700409893447,-1.7483554023562,-3.56810684175727,-3.47649673004052,-2.36554746499732,-2.85315004944283
h5,-3.33908213046899,-2.74284886624306,-2.95225721695142,-0.732338967746965,-1.72036208136611,-3.35784426089776,-3.44202188025913,-2.31373178118921,-2.77885238183622
h6,-3.31224498620756,-2.41244787279662,-2.83795067762329,-0.777380407010621,-1.6342283766749,-3.17949251284785,-3.28822056315089,-2.13973079694798,-2.79035017312401
h7,-2.98496783071439,-2.23376507387503,-2.84380572031088,-0.809759237988635,-1.71972486604905,-3.41822428424649,-3.16811212213755,-2.11625887327346,-2.88191749847021
h8,-2.84168349838708,-2.15222025264457,-2.63354689434373,-0.884434024453535,-1.6528649592073,-2.92822960833559,-3.01072943742684,-2.2196202358496,-2.63367185488969
h9,-2.71156156059004,-2.20795652763371,-2.62867220037424,-0.919651724114434,-1.34901272999288,-2.76798753567959,-2.87641527928792,-2.20874581378008,-2.55168474997905
h10,-2.6205871935669,-2.29510045270572,-2.38833498456619,-0.762049955058383,-1.40438787243585,-2.58346071240071,-2.83221069328607,-2.1208439293766,-2.63525428444629
h11,-2.44421424770125,-2.27595582136931,-2.46814271905213,-0.710508465844919,-1.29906348351945,-2.62128590382347,-2.74938249007457,-2.13617524305621,-2.81758000764076
h12,-2.4085849432086,-2.28690394991242,-2.25334891174277,-0.674627295411687,-1.21834320064386,-2.47755741052904,-2.63339814062643,-2.30623408857879,-2.5225783603997
h13,-2.37132228230783,-2.2941495009997,-2.20256158440578,-0.66367352975593,-1.09488776153759,-2.38945931029404,-2.6546027953888,-2.31073669515458,-2.45023549775517
h14,-2.39768118497804,-2.27257821444721,-2.09562385122686,-0.741546724123334,-0.969842038845434,-2.39871827031679,-2.53944866640169,-2.3307383698161,-2.45654318132941
h15,-2.41110110977082,-2.28756367363651,-2.00449108831417,-0.758305553954644,-0.912691404555604,-2.36286262242996,-2.48748284725352,-2.34446327635385,-2.36751316896969
h16,-2.39271787208955,-2.30722477820639,-1.93983769239765,-0.664174211459012,-0.726347382861742,-2.32526951861719,-2.39591679369551,-2.2646613954426,-2.38588290165342
h17,-2.38173500049899,-2.34092260956841,-1.91899913050986,-0.513215418659454,-0.727884176286832,-2.29051641412905,-2.42002411224698,-2.26621669475798,-2.3322570589276
h18,-2.33683023007623,-2.29264918073926,-1.83978844278278,-0.318062986754076,-0.686889324156135,-2.21794723102699,-2.35653856163809,-2.25448804896626,-2.36895466798432
h19,-2.28438886751578,-2.22156849718434,-1.82780855381173,0.0389233267517756,-0.66484738765398,-2.18266870421423,-2.34750788288461,-2.21212641006372,-2.38175090013301
h20,-2.17331950974245,-2.23386263517016,-1.74448849403707,0.289484098547265,-0.660997075095863,-2.06956619566252,-2.28145481122811,-2.17832514381074,-2.29348151906188
